Season,G,MP,FG%,Dist.,P2,0-3,3-10,10-16,16-3pt,P3,PFG,0-3,3-10,10-16,16-3pt,PFG3,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2003,82,19841,.442,12.1,.818,.286,.150,.146,.236,.182,.463,.603,.384,.388,.389,.349,.560,.047,285,.218,778,.852,.257,.369,12.0,0.2
2004,82,19825,.439,12.0,.813,.297,.147,.141,.229,.187,.460,.592,.382,.377,.388,.347,.565,.047,280,.226,782,.857,.261,.378,11.6,0.3
2005,82,19838,.447,12.1,.804,.304,.135,.129,.236,.196,.470,.596,.391,.383,.400,.356,.544,.051,305,.231,806,.854,.272,.384,12.1,0.1
2006,82,19853,.454,12.2,.798,.309,.133,.119,.236,.202,.478,.601,.400,.391,.405,.358,.523,.049,288,.239,836,.851,.270,.390,12.4,0.3
2007,82,19856,.458,12.2,.787,.314,.131,.113,.229,.213,.485,.610,.411,.392,.404,.358,.527,.046,277,.244,886,.863,.271,.384,12.6,0.3
2008,82,19801,.457,12.5,.778,.308,.124,.111,.235,.222,.484,.607,.408,.391,.409,.362,.523,.051,309,.240,889,.867,.264,.395,15.6,0.3
2009,82,19826,.459,12.4,.776,.314,.124,.111,.227,.224,.485,.602,.412,.395,.407,.367,.501,.051,312,.247,898,.859,.274,.395,14.8,0.3
2010,82,19820,.461,12.2,.778,.320,.129,.110,.218,.222,.492,.613,.421,.400,.402,.355,.505,.048,293,.253,961,.847,.258,.392,15.9,0.6
2011,82,19836,.459,12.6,.778,.276,.178,.110,.214,.222,.487,.650,.392,.398,.403,.358,.518,.049,297,.222,883,.860,.270,.394,15.7,0.5
2012,66,15966,.448,12.5,.774,.287,.169,.110,.208,.226,.477,.634,.378,.388,.388,.349,.518,.050,244,.226,711,.843,.261,.376,10.1,0.3
2013,82,19817,.453,12.6,.757,.293,.164,.107,.193,.243,.483,.631,.381,.395,.393,.359,.535,.052,318,.230,891,.851,.268,.390,14.0,0.3
2014,82,19841,.454,12.8,.741,.286,.169,.105,.180,.259,.488,.636,.390,.401,.395,.360,.518,.048,301,.229,909,.837,.248,.390,14.8,0.5
2015,82,19839,.449,12.8,.732,.288,.165,.103,.175,.268,.485,.628,.383,.403,.394,.350,.520,.047,293,.228,903,.843,.253,.387,14.4,0.4
2016,82,19826,.452,12.5,.715,.293,.158,.103,.162,.285,.491,.624,.396,.405,.398,.354,.510,.048,304,.251,982,.836,.248,.377,14.7,0.5
2017,82,19815,.457,13.3,.684,.290,.152,.099,.142,.316,.503,.631,.414,.412,.403,.358,.495,.051,322,.250,994,.835,.228,.388,16.8,0.3
2018,82,19795,.460,13.2,.663,.281,.156,.106,.120,.337,.510,.658,.394,.415,.400,.362,.499,.053,331,.273,1064,.830,.208,.394,17.5,0.2
2019,82,19818,.461,13.5,.641,.292,.162,.096,.092,.359,.520,.658,.400,.413,.401,.355,.513,.058,380,.278,1113,.823,.214,.383,15.7,0.5
2020,64,15649,.460,13.9,.618,.283,.166,.092,.076,.382,.523,.666,.393,.415,.405,.357,.505,.060,308,.276,861,.813,.210,.389,12.4,0.3
